Image_ID,Class
frame0.jpg,1
frame1.jpg,1
frame2.jpg,1
frame3.jpg,1
frame4.jpg,1
frame5.jpg,1
frame6.jpg,1
frame7.jpg,1
frame8.jpg,1
frame9.jpg,0
frame10.jpg,0
frame11.jpg,2
frame12.jpg,2
frame13.jpg,2
frame14.jpg,2
frame15.jpg,2
frame16.jpg,2
frame17.jpg,2
frame18.jpg,2
frame19.jpg,2
frame20.jpg,2
frame21.jpg,2
frame22.jpg,2
frame23.jpg,2
frame24.jpg,2
frame25.jpg,2
frame26.jpg,2
frame27.jpg,2
frame28.jpg,2
frame29.jpg,2
frame30.jpg,2
frame31.jpg,2
frame32.jpg,2
frame33.jpg,2
frame34.jpg,0
frame35.jpg,1
